Type,Entity 1,Relationship,Type,Entity2
ORG,Ranch, was used by ,O, students for variety
PERSON,Margaret, were ,O, friends
PERSON,Scouting, is in ,O, theSanta Clara Valley
PERSON,Margaret Taylor, interview by ,O, author 2015
ORG,Swanton Pacific Ranch, got ,O, its SP brand
PERSON,Smith, willed ,O, bulk
PERSON,Año Nuevo, is ,O, State Park
DATE,one year, is in ,GPE, Manteca
ORG,Ranch, is ,CARDINAL, about 180 miles
PERSON,Al Smith, of ,GPE, parents at Panama
PERSON,Margaret, friends andbecame ,PERSON, Martha
PERSON,Smith, credits ,ORG, his membership in Los Gatos Boy Scout Troop 39
PERSON,Smith, earned ,O, BS in Crops Science
PERSON,Smith, hemoved ,O, them
ORG,head brakeman, severed ,O, his leg
PERSON,Lou Haughney, 's papers is ,GPE, unknown Author
GPE,San Francisco, 's Exposition is ,PERSON, PPIE
PERSON,Smith, credits ,CARDINAL, his membership in Los Gatos Boy Scout Troop 39
PERSON,Margaret, were ,O, friends andbecame connected
PERSON,Smith, saw ,O, it
PERSON,Smith, is in ,CARDINAL, theEl Rodeo
PERSON,Cal Poly, has ,O, President
PERSON,Smith, was ,O, added
PERSON,Smith, check fuel in ,O, tender
PERSON,Brian Dietterick, has ,DATE, has director since 2004
DATE,1978, In Hardware is ,ORG, California.Swanton Pacific Ranch
DATE,1978, In Hardware is ,LOC, California.Swanton Pacific Ranch
ORG,head brakeman, severed ,O, his left leg
PERSON,Martha, would make ,DATE, meals for railroad work weeks
GPE,Livermore, is in ,PERSON, 1976.162 Smith
ORG,Ranch, was ,O, used
PERSON,Smith, transferred to ,O, Cal Poly
PERSON,Margaret, friends ,PERSON, Martha
PERSON,Al, made ,O, his way
PERSON,Smith, settled in ,PERSON, Swanton
PERSON,Al Smith, see ,CARDINAL, Figure 26
PERSON,Boy Scouts, is with ,ORG, Troop Master Kenny Robinson .139 Smith
PERSON,Smith, earned BS with ,O, teaching credential
ORG,National Park Service, Department of ,GPE, Interior
PERSON,Smith, became In ,DATE,1993
PERSON,Martha, began ,O, garden
WORK_OF_ART,Swanton Pacific Railroad, was ,O, born
PERSON,Smith, Initially gave ,CARDINAL, $ 1 million
PERSON,Smith, worked for ,LOC, Southern Pacific Railroad
NORP,Indians, ate ,O, shellfish year
PERSON,Randy Jones, email to ,O, author
PERSON,Brian Dietterick, has ,O, has director
GPE,San Francisco, hosted ,O, world
DATE,Dec. 22, is in ,ORG, Campbell
ORG,Swanton Pacific Ranch, got because ,O, its lazy SP brand
PERSON,PPIE, was ,O, also place
PERSON,Al Smith, has ,O, father .158
PERSON,Martha Jean Neilsen, died on ,O, December 3 2013
ORG,Ranch, is home to ,CARDINAL, one-third scale
PERSON,Al Smith, president of ,O, OSH
PERSON,Smith, was formally presented ,O, Medal
ORG,Vallejo, is in ,O,1980.166
PERSON,Smith, willed bulk to ,O, education
PERSON,Smith, has ,O, parents
PERSON,Kevin Piper, starting ,PERSON, Brenda Smith
PERSON,Smith, was ,O, sent
PERSON,Smith, has ,ORDINAL, first visit to property
ORG,Ranch, is ,O, home
PERSON,Smith, earned ,O, BS
PERSON,Smith, gave ,CARDINAL, $ 1 million
PERSON,Margaret, were ,GPE, friends andbecame connected through Railroad
ORG,Ranch, is home to ,O, scale
PERSON,Smith, contained as ,O, possible
PERSON,Smith, of ,GPE, Southern Pacific Railroad tools
ORG,Ranch, was used by ,O, students
PERSON,Swanton, was ,O, president
ORG,Swanton Pacific Ranch, got because ,O, its SP brand
PERSON,Kevin Piper, approximately starting ,PERSON, Brenda Smith
GPE,San Luis Obispo, stated From ,GPE, Panama
NORP,Indians, ate ,O, shellfish
PERSON,Martha, would make ,DATE, meals weeks
WORK_OF_ART,Permanent Cover Crops, is in ,GPE, California
NORP,Indians, ate ,O, shellfish year around
ORG,Ranch, was used by ,O, students for variety of educational purposes
PERSON,Smith, has ,O, connection with San Luis Obispo
